Name,dipole_Boltzmann_Debye,dipole_moment_Boltzmann_average,dipole_moment_Boltzmann_std,dipole_moment_Boltzmann_skewness,dipole_moment_mean,dipole_moment_std,dipole_moment_skewness
08131KW,5.323607907064276,2.094468883619479,0.2983245631623901,-0.7830213434334392,2.0849907953,0.3191741479489116,-0.2254916037366353
09079KW,3.285317766650296,1.292543695023144,0.7859024312643025,-0.5802694576114842,1.2857763619999998,0.742148862577911,-0.470547954129009
09078KW,6.202583636866766,2.4402846062772467,0.1293003120832248,-2.001893081115237,2.3347403473,0.1934885573217946,-0.5653235512165086
07038KW,8.712545428045813,3.4277797341063243,0.1264503488704759,0.3085772564031414,3.4547436545,0.1319806351841328,-0.029195668691251
07036KW,7.14667346775138,2.811718192042549,0.1233552677093148,1.0755143036523167,2.8320965067,0.1249135726383065,1.0042162520561264
07039KW,8.325164440141855,3.2753722992548644,0.1415564681204779,0.667537938965441,3.2882786016,0.1393223926821039,0.5219209749836148
07035KW,5.831451432908064,2.2942699360628738,0.307113126583771,-0.1180104162401652,2.3283062273,0.2885712040923193,-0.2982690218373579
Acid1,4.165560834065929,1.6388580267524488,0.2337980055862046,-0.4133285841030605,1.7192753637,0.1965424696271252,-1.2147192761466383
Acid2,5.953511589205345,2.342292105192787,0.4591057459730107,0.7022741699843138,2.2248482275,0.3114391539705773,1.6477699542130173
Acid3,7.4738088116843,2.940423162536422,0.0119551725514612,-29.48719612212611,2.6795130323,0.181757968744674,-0.0621501249633524
Acid4,6.880693163556775,2.7070734697946905,0.1828491212532133,-0.676042916335271,2.6860480016,0.2165050867352378,-0.4170275257233227
Acid5-HOBA,4.952797957469862,1.948580998050105,0.1410437482423358,0.2777994118009289,1.9443066686,0.1542777985167661,-0.0921422314503992
5CB,6.294954876734765,2.4766262548400846,0.2616170561156049,1.2668627462106374,2.4919932452,0.2381481896558488,1.408927890986542
6CB,2.275943407986148,0.8954251951163288,0.7418696219218854,0.1940245310917366,1.1153042298,0.7438073956913106,-0.3957638078897776
7CB,5.865574255604398,2.3076948898923804,0.3553066215541314,-0.0603414891702361,2.460680241,0.3252498817110468,-1.420686124224226
5OCB,6.653057286746214,2.6175146087556405,0.7737935352272122,-0.592689762012383,2.189140713,0.8655263100542366,0.2378953565394821
6OCB,6.095952202067308,2.398332564334638,0.4487698983864767,-0.7178094538795124,2.4248543345,0.4195481158046916,-0.8408564241322815
7OCB,6.855588943555095,2.697196707914597,0.3564359763526457,-0.7380568219144681,2.5001946465,0.3991004407108449,0.1943785718847046
PCH-3,3.0286294318563085,1.1915547154815267,0.17988507270728,0.8873179791794471,1.1926575253,0.1803871122134511,0.8725180025962526
PCH-4,3.237178425081582,1.2736042173693132,0.1858781343453096,-0.0864136191045727,1.2738795942,0.1900755594694448,0.0566724950751657
PCH-5,3.1538009921192005,1.240801005340109,0.1803779822117594,0.2933117188567034,1.2458511598000002,0.1810874804696209,0.4272460317256826
PCH-7,3.098780654171555,1.2191543349223546,0.1841754669756845,0.4960637362360259,1.2403187017,0.1905678794478181,0.4636895334638738
PCH-8,2.911184390494244,1.1453482726024724,0.1539822858183644,1.960684999496061,1.1904764921,0.1747742978569919,1.3208660624640864
Comp35,5.69089800787708,2.2389719538762254,0.0414486816420266,0.3766189152486225,2.2662487336000003,0.0419767598513153,-0.6335064117313669
Comp36,5.682195283972694,2.235548038227539,0.0524610436719772,0.6523335689389744,2.2670223444,0.0568281733446105,-0.3042844496697219
CCH-7,5.676845435197218,2.233443245390066,0.0452672199139502,0.8222777329880322,2.255230453,0.0502440402762938,-0.0669598169433687
RO-CM-4513,6.727537559237803,2.646817407891191,0.0424803086478445,1.2488324757430154,2.6658946345,0.0502263896785356,0.3381510132048587
CCH-301,6.751817627080112,2.6563699233047333,0.0505302119326517,1.0573883471791847,2.6842216031,0.0577778482582892,-0.0036414034911283
