molecule_id,family,cv_fold,true_lbl,class_lbl,score
PYP609,dipole_prop,3,2,5,0.0
MBBA,dipole_prop,3,2,2,1.0
MBBA,dipole_prop,3,2,4,0.0
MBBA,dipole_prop,3,2,5,0.0
Comp114,dipole_prop,3,2,2,1.0
Comp114,dipole_prop,3,2,4,0.0
Comp114,dipole_prop,3,2,5,0.0
BCH5,dipole_prop,3,2,2,1.0
BCH5,dipole_prop,3,2,4,0.0
BCH5,dipole_prop,3,2,5,0.0
I35,dipole_prop,3,2,2,1.0
I35,dipole_prop,3,2,4,0.0
I35,dipole_prop,3,2,5,0.0
HH33,dipole_prop,3,2,2,0.9854878863318962
HH33,dipole_prop,3,2,4,0.011840427469791729
HH33,dipole_prop,3,2,5,0.0026716861983119796
EC1F,dipole_prop,3,5,2,0.617963627366077
EC1F,dipole_prop,3,5,4,0.35073611282939504
EC1F,dipole_prop,3,5,5,0.031300259804528024
EC6F,dipole_prop,3,5,2,0.08101711372739409
EC6F,dipole_prop,3,5,4,0.289476878261925
EC6F,dipole_prop,3,5,5,0.6295060080106809
EC8F,dipole_prop,3,2,2,0.9585958595859585
EC8F,dipole_prop,3,2,4,0.041404140414041404
EC8F,dipole_prop,3,2,5,0.0
1O(M-O1)PEPEBNO2,dipole_prop,3,4,2,0.024638033824066187
1O(M-O1)PEPEBNO2,dipole_prop,3,4,4,0.9599707993673197
1O(M-O1)PEPEBNO2,dipole_prop,3,4,5,0.015391166808614186
1O(M-O6)PEPEBNO2,dipole_prop,3,4,2,0.9863636363636363
1O(M-O6)PEPEBNO2,dipole_prop,3,4,4,0.013636363636363636
1O(M-O6)PEPEBNO2,dipole_prop,3,4,5,0.0
5-2,dipole_prop,3,4,2,0.6439888164026095
5-2,dipole_prop,3,4,4,0.34575955265610436
5-2,dipole_prop,3,4,5,0.010251630941286114
5-3,dipole_prop,3,4,2,0.015292353823088455
5-3,dipole_prop,3,4,4,0.9517241379310344
5-3,dipole_prop,3,4,5,0.032983508245877056
6-8,dipole_prop,3,2,2,0.09149722735674676
6-8,dipole_prop,3,2,4,0.878003696857671
6-8,dipole_prop,3,2,5,0.030499075785582253
NT3F-5,dipole_prop,3,2,2,0.6398963730569948
NT3F-5,dipole_prop,3,2,4,0.3601036269430052
NT3F-5,dipole_prop,3,2,5,0.0
Sulfur-7,dipole_prop,3,4,2,0.1287009063444109
Sulfur-7,dipole_prop,3,4,4,0.6353474320241693
Sulfur-7,dipole_prop,3,4,5,0.23595166163141995
Sulfur-15,dipole_prop,3,5,2,0.0872947806910071
Sulfur-15,dipole_prop,3,5,4,0.6808992893898553
Sulfur-15,dipole_prop,3,5,5,0.23180592991913745
EST-3,dipole_prop,3,5,2,0.0027345649003403015
EST-3,dipole_prop,3,5,4,0.9096985901798736
EST-3,dipole_prop,3,5,5,0.0875668449197861
S4,dipole_prop,3,2,2,0.03347406513872135
S4,dipole_prop,3,2,4,0.9499396863691194
S4,dipole_prop,3,2,5,0.016586248492159228
S7,dipole_prop,3,2,2,0.23453307989453676
S7,dipole_prop,3,2,4,0.10852903304923661
S7,dipole_prop,3,2,5,0.6569378870562266
S8,dipole_prop,3,4,2,0.03469750889679715
S8,dipole_prop,3,4,4,0.8772241992882563
S8,dipole_prop,3,4,5,0.08807829181494663
2-2-Z0,dipole_prop,3,4,2,0.09051166800073888
2-2-Z0,dipole_prop,3,4,4,0.24844529277753835
2-2-Z0,dipole_prop,3,4,5,0.6610430392217228
SCUT7a,dipole_prop,3,5,2,0.23431734317343175
SCUT7a,dipole_prop,3,5,4,0.7656826568265683
SCUT7a,dipole_prop,3,5,5,0.0
M-0-1,dipole_prop,3,4,2,0.0036600988226682123
M-0-1,dipole_prop,3,4,4,0.8903190386140426
M-0-1,dipole_prop,3,4,5,0.10602086256328921
Li-1a,dipole_prop,3,2,2,0.003630642623744403
Li-1a,dipole_prop,3,2,4,0.9957037395619025
Li-1a,dipole_prop,3,2,5,0.0006656178143531404
Li-3a,dipole_prop,3,2,2,0.6437177280550774
Li-3a,dipole_prop,3,2,4,0.3562822719449225
Li-3a,dipole_prop,3,2,5,0.0
Li-4b,dipole_prop,3,4,2,0.3588290840415486
Li-4b,dipole_prop,3,4,4,0.6411709159584513
Li-4b,dipole_prop,3,4,5,0.0
Li-6b,dipole_prop,3,4,2,1.0
Li-6b,dipole_prop,3,4,4,0.0
Li-6b,dipole_prop,3,4,5,0.0
Li-8,dipole_prop,3,4,2,0.027613787849933347
Li-8,dipole_prop,3,4,4,0.6560655113311751
Li-8,dipole_prop,3,4,5,0.31632070081889163
Li-9c,dipole_prop,3,4,2,1.0
Li-9c,dipole_prop,3,4,4,0.0
Li-9c,dipole_prop,3,4,5,0.0
Li-13b,dipole_prop,3,2,2,0.9918478260869565
Li-13b,dipole_prop,3,2,4,0.008152173913043478
Li-13b,dipole_prop,3,2,5,0.0
Li-14,dipole_prop,3,2,2,1.0
Li-14,dipole_prop,3,2,4,0.0
Li-14,dipole_prop,3,2,5,0.0
Li-20,dipole_prop,3,2,2,0.8749404194470924
Li-20,dipole_prop,3,2,4,0.024130123927550047
Li-20,dipole_prop,3,2,5,0.10092945662535749
RT08062,dipole_prop,4,2,2,0.9880239520958084
RT08062,dipole_prop,4,2,4,0.011976047904191617
RT08062,dipole_prop,4,2,5,0.0
06100KW,dipole_prop,4,2,2,1.0
06100KW,dipole_prop,4,2,4,0.0
06100KW,dipole_prop,4,2,5,0.0
07088KW,dipole_prop,4,2,2,1.0
07088KW,dipole_prop,4,2,4,0.0
07088KW,dipole_prop,4,2,5,0.0
08117KW,dipole_prop,4,2,2,1.0
08117KW,dipole_prop,4,2,4,0.0
08117KW,dipole_prop,4,2,5,0.0
09078KW,dipole_prop,4,2,2,1.0
09078KW,dipole_prop,4,2,4,0.0
09078KW,dipole_prop,4,2,5,0.0
07039KW,dipole_prop,4,2,2,0.9545760107557861
07039KW,dipole_prop,4,2,4,0.029578411600883512
07039KW,dipole_prop,4,2,5,0.015845577643330454
Acid2,dipole_prop,4,2,2,1.0
Acid2,dipole_prop,4,2,4,0.0
Acid2,dipole_prop,4,2,5,0.0
Acid3,dipole_prop,4,2,2,1.0
Acid3,dipole_prop,4,2,4,0.0
Acid3,dipole_prop,4,2,5,0.0
PCH-3,dipole_prop,4,2,2,1.0
PCH-3,dipole_prop,4,2,4,0.0
PCH-3,dipole_prop,4,2,5,0.0
PCH-8,dipole_prop,4,2,2,1.0
PCH-8,dipole_prop,4,2,4,0.0
PCH-8,dipole_prop,4,2,5,0.0
CCH-7,dipole_prop,4,2,2,1.0
CCH-7,dipole_prop,4,2,4,0.0
CCH-7,dipole_prop,4,2,5,0.0
CCH-301,dipole_prop,4,2,2,1.0
CCH-301,dipole_prop,4,2,4,0.0
CCH-301,dipole_prop,4,2,5,0.0
PYP606,dipole_prop,4,2,2,1.0
PYP606,dipole_prop,4,2,4,0.0
PYP606,dipole_prop,4,2,5,0.0
PYP607,dipole_prop,4,2,2,1.0
PYP607,dipole_prop,4,2,4,0.0
PYP607,dipole_prop,4,2,5,0.0
RO-CM-1510,dipole_prop,4,2,2,1.0
RO-CM-1510,dipole_prop,4,2,4,0.0
RO-CM-1510,dipole_prop,4,2,5,0.0
Comp92,dipole_prop,4,2,2,1.0
Comp92,dipole_prop,4,2,4,0.0
Comp92,dipole_prop,4,2,5,0.0
Comp119,dipole_prop,4,2,2,1.0
Comp119,dipole_prop,4,2,4,0.0
Comp119,dipole_prop,4,2,5,0.0
HP5N,dipole_prop,4,2,2,1.0
HP5N,dipole_prop,4,2,4,0.0
HP5N,dipole_prop,4,2,5,0.0
DIO,dipole_prop,4,5,2,1.0
DIO,dipole_prop,4,5,4,0.0
DIO,dipole_prop,4,5,5,0.0
1O(M-O3)PEPEBNO2,dipole_prop,4,4,2,0.0
1O(M-O3)PEPEBNO2,dipole_prop,4,4,4,0.9885496183206106
1O(M-O3)PEPEBNO2,dipole_prop,4,4,5,0.011450381679389313
1O(M-O8)PEPEBNO2,dipole_prop,4,4,2,0.11282034915265057
1O(M-O8)PEPEBNO2,dipole_prop,4,4,4,0.01541505760699582
1O(M-O8)PEPEBNO2,dipole_prop,4,4,5,0.8717645932403536
5-4,dipole_prop,4,4,2,0.6441442883205838
5-4,dipole_prop,4,4,4,0.11964279998719714
5-4,dipole_prop,4,4,5,0.23621291169221906
5-8,dipole_prop,4,4,2,0.006683215581439756
5-8,dipole_prop,4,4,4,0.2686652663738782
5-8,dipole_prop,4,4,5,0.7246515180446821
6-1,dipole_prop,4,4,2,0.3312231517069862
6-1,dipole_prop,4,4,4,0.6687768482930138
6-1,dipole_prop,4,4,5,0.0
NT3F-2,dipole_prop,4,2,2,0.6580105633802817
NT3F-2,dipole_prop,4,2,4,0.34198943661971837
NT3F-2,dipole_prop,4,2,5,0.0
NT3F-3,dipole_prop,4,2,2,0.23877793157998814
NT3F-3,dipole_prop,4,2,4,0.7315602135653549
NT3F-3,dipole_prop,4,2,5,0.02966185485465691
NT3F-7,dipole_prop,4,2,2,0.0
NT3F-7,dipole_prop,4,2,4,1.0
NT3F-7,dipole_prop,4,2,5,0.0
Sulfur-2,dipole_prop,4,5,2,0.23768908915352432
Sulfur-2,dipole_prop,4,5,4,0.6826520759575153
Sulfur-2,dipole_prop,4,5,5,0.07965883488896042
Sulfur-13,dipole_prop,4,2,2,0.649995086960794
