molecule_id,family,cv_fold,true_lbl,class_lbl,score
BCH5,dipole_prop,6,2,4,0.01497472729810085
BCH5,dipole_prop,6,2,5,0.05576968358389785
HH33,dipole_prop,6,2,2,0.44438662327448186
HH33,dipole_prop,6,2,4,0.2586596671050768
HH33,dipole_prop,6,2,5,0.2969537096204413
DIO,dipole_prop,6,5,2,0.6154347406453331
DIO,dipole_prop,6,5,4,0.15768573705843986
DIO,dipole_prop,6,5,5,0.22687952229622713
EC8F,dipole_prop,6,2,2,0.09825483259755645
EC8F,dipole_prop,6,2,4,0.47270400854959016
EC8F,dipole_prop,6,2,5,0.4290411588528534
1O(M-O6)PEPEBNO2,dipole_prop,6,4,2,0.2257432224002801
1O(M-O6)PEPEBNO2,dipole_prop,6,4,4,0.3961267148693576
1O(M-O6)PEPEBNO2,dipole_prop,6,4,5,0.3781300627303623
5-3,dipole_prop,6,4,2,0.18267279538670353
5-3,dipole_prop,6,4,4,0.42293928610393194
5-3,dipole_prop,6,4,5,0.39438791850936455
Sulfur-7,dipole_prop,6,4,2,0.4036916253444666
Sulfur-7,dipole_prop,6,4,4,0.2838784511597927
Sulfur-7,dipole_prop,6,4,5,0.3124299234957407
Sulfur-15,dipole_prop,6,5,2,0.2537541060225839
Sulfur-15,dipole_prop,6,5,4,0.37848028225331626
Sulfur-15,dipole_prop,6,5,5,0.36776561172409983
DIO-3,dipole_prop,6,5,2,0.19960872754265685
DIO-3,dipole_prop,6,5,4,0.4124589208369968
DIO-3,dipole_prop,6,5,5,0.38793235162034645
S7,dipole_prop,6,2,2,0.2649585486245392
S7,dipole_prop,6,2,4,0.37139643516238263
S7,dipole_prop,6,2,5,0.36364501621307804
2-2-Z0,dipole_prop,6,4,2,0.2668273660324977
2-2-Z0,dipole_prop,6,4,4,0.37021397180139126
2-2-Z0,dipole_prop,6,4,5,0.362958662166111
Li-1a,dipole_prop,6,2,2,0.29825282208422005
Li-1a,dipole_prop,6,2,4,0.3503090560551013
Li-1a,dipole_prop,6,2,5,0.3514381218606787
Li-3a,dipole_prop,6,2,2,0.1286272303982794
Li-3a,dipole_prop,6,2,4,0.4554652912994692
Li-3a,dipole_prop,6,2,5,0.4159074783022514
Li-6b,dipole_prop,6,4,2,0.08211913226120522
Li-6b,dipole_prop,6,4,4,0.4813465795419166
Li-6b,dipole_prop,6,4,5,0.4365342881968782
Li-8,dipole_prop,6,4,2,0.2695742750568246
Li-8,dipole_prop,6,4,4,0.36847551335056195
Li-8,dipole_prop,6,4,5,0.3619502115926135
Li-13b,dipole_prop,6,2,2,0.09609564554678487
Li-13b,dipole_prop,6,2,4,0.4738854023297773
Li-13b,dipole_prop,6,2,5,0.4300189521234379
07088KW,dipole_prop,7,2,2,0.7584398087564056
07088KW,dipole_prop,7,2,4,0.07801608804468088
07088KW,dipole_prop,7,2,5,0.16354410319891352
08117KW,dipole_prop,7,2,2,0.747242116653026
08117KW,dipole_prop,7,2,4,0.08335049587389352
08117KW,dipole_prop,7,2,5,0.16940738747308054
PCH-3,dipole_prop,7,2,2,0.8667995020350855
PCH-3,dipole_prop,7,2,4,0.03247538576919065
PCH-3,dipole_prop,7,2,5,0.10072511219572383
PCH-8,dipole_prop,7,2,2,0.8670288768641526
PCH-8,dipole_prop,7,2,4,0.03239263300868506
PCH-8,dipole_prop,7,2,5,0.10057849012716223
PYP606,dipole_prop,7,2,2,0.728555763018251
PYP606,dipole_prop,7,2,4,0.09247286878975455
PYP606,dipole_prop,7,2,5,0.17897136819199438
PYP607,dipole_prop,7,2,2,0.7268270872683062
PYP607,dipole_prop,7,2,4,0.09333020996210868
PYP607,dipole_prop,7,2,5,0.179842702769585
RO-CM-1510,dipole_prop,7,2,2,0.8493303138595557
RO-CM-1510,dipole_prop,7,2,4,0.038968913041428924
RO-CM-1510,dipole_prop,7,2,5,0.11170077309901531
Comp92,dipole_prop,7,2,2,0.8426741576448072
Comp92,dipole_prop,7,2,4,0.04153884489085873
Comp92,dipole_prop,7,2,5,0.11578699746433412
HP5N,dipole_prop,7,2,2,0.580377380454909
HP5N,dipole_prop,7,2,4,0.17283518617400156
HP5N,dipole_prop,7,2,5,0.24678743337108938
1O(M-O3)PEPEBNO2,dipole_prop,7,4,2,0.18467462428872553
1O(M-O3)PEPEBNO2,dipole_prop,7,4,4,0.4228036766944392
1O(M-O3)PEPEBNO2,dipole_prop,7,4,5,0.3925216990168353
1O(M-O8)PEPEBNO2,dipole_prop,7,4,2,0.3110656999095823
1O(M-O8)PEPEBNO2,dipole_prop,7,4,4,0.34112619369943775
1O(M-O8)PEPEBNO2,dipole_prop,7,4,5,0.3478081063909798
5-8,dipole_prop,7,4,2,0.19173120106519748
5-8,dipole_prop,7,4,4,0.4183252574079226
5-8,dipole_prop,7,4,5,0.38994354152687993
NT3F-3,dipole_prop,7,2,2,0.14581810862344563
NT3F-3,dipole_prop,7,2,4,0.4470419184461218
NT3F-3,dipole_prop,7,2,5,0.4071399729304325
Sulfur-2,dipole_prop,7,5,2,0.25838608116011536
Sulfur-2,dipole_prop,7,5,4,0.3753880932983308
Sulfur-2,dipole_prop,7,5,5,0.36622582554155386
DIO-1,dipole_prop,7,5,2,0.5391590930001149
DIO-1,dipole_prop,7,5,4,0.19719011793612015
DIO-1,dipole_prop,7,5,5,0.26365078906376505
2-2-Z2,dipole_prop,7,2,2,0.22190213200437608
2-2-Z2,dipole_prop,7,2,4,0.3990015953017268
2-2-Z2,dipole_prop,7,2,5,0.37909627269389706
Li-1c,dipole_prop,7,4,2,0.36662262429307446
Li-1c,dipole_prop,7,4,4,0.3051225897890782
Li-1c,dipole_prop,7,4,5,0.3282547859178473
Li-12a,dipole_prop,7,4,2,0.4015640446105694
Li-12a,dipole_prop,7,4,4,0.28268412728466735
Li-12a,dipole_prop,7,4,5,0.3157518281047633
Li-12b,dipole_prop,7,2,2,0.10911124307511137
Li-12b,dipole_prop,7,2,4,0.4689167689826473
Li-12b,dipole_prop,7,2,5,0.42197198794224144
Li-12c,dipole_prop,7,2,2,0.285889642063624
Li-12c,dipole_prop,7,2,4,0.3575049009320626
Li-12c,dipole_prop,7,2,5,0.3566054570043133
Li-23,dipole_prop,7,4,2,0.1716247597506804
Li-23,dipole_prop,7,4,4,0.4310320032026118
