molecule_id,family,y_true,y_score,cv_fold
07035KW,sigma_profile,0,0.6098455384631956,5
5CB,sigma_profile,0,0.7599984633893587,5
6OCB,sigma_profile,0,0.20860710117858244,5
RO-CM-7037,sigma_profile,0,0.06342931881040699,5
PYP609,sigma_profile,0,0.07631198427859753,5
I35,sigma_profile,0,0.06864419285948219,5
5-7,sigma_profile,1,0.35515467101197096,5
6-8,sigma_profile,0,0.42160071428310725,5
3JK,sigma_profile,1,0.9411219223091648,5
NT3F-5,sigma_profile,0,0.6807925751890441,5
EST-4,sigma_profile,1,0.813252575214375,5
S4,sigma_profile,0,0.667226661064951,5
2-2-Z0,sigma_profile,1,0.4841832278268182,5
SCUT22b,sigma_profile,1,0.7516259436202323,5
M-1-2,sigma_profile,1,0.8170014774227942,5
Li-4c,sigma_profile,1,0.4561966089561987,5
Li-12a,sigma_profile,1,0.47383569117738766,5
Li-14,sigma_profile,0,0.4772279207010083,5
Li-16,sigma_profile,1,0.5836179752566353,5
Li-20,sigma_profile,0,0.8834297304513776,5
PR07117,sigma_profile,0,0.15264600356393607,6
06129KW,sigma_profile,0,0.30232271049008136,6
06128KW,sigma_profile,0,0.23501862862780012,6
06120KW,sigma_profile,0,0.12159007661592948,6
MJ01064,sigma_profile,0,0.36437470696979646,6
01031MR,sigma_profile,0,0.23316938191378703,6
MBBA,sigma_profile,0,0.7864617243426192,6
Comp114,sigma_profile,0,0.28402860749158704,6
BCH5,sigma_profile,0,0.2512107706955132,6
HH33,sigma_profile,0,0.10646613867083618,6
EC8F,sigma_profile,0,0.6128874913376812,6
1O(M-O1)PEPEBNO2,sigma_profile,1,0.6139224950202367,6
1O(M-O3)PEPEBNO2,sigma_profile,1,0.6181922858471091,6
1O(M-O4)PEPEBNO2,sigma_profile,1,0.5630474095444669,6
1O(M-O9)PEPEBNO2,sigma_profile,1,0.4481845869064194,6
5-6,sigma_profile,1,0.4516040200872964,6
NT3-7,sigma_profile,1,0.5118325860902176,6
DIO-1,sigma_profile,1,0.9032016815295816,6
S7,sigma_profile,0,0.6469170021610943,6
1-2-Z1,sigma_profile,1,0.35803542123554555,6
Li-1a,sigma_profile,0,0.7235958866979668,6
Li-3a,sigma_profile,0,0.5986197719673438,6
Li-4b,sigma_profile,1,0.4827602181122401,6
Li-13b,sigma_profile,0,0.4499907078275383,6
07088KW,sigma_profile,0,0.6103301993047132,7
08117KW,sigma_profile,0,0.27021913264712244,7
PCH-3,sigma_profile,0,0.9173637583796869,7
PCH-8,sigma_profile,0,0.8961620321754361,7
PYP606,sigma_profile,0,0.07701875046688243,7
PYP607,sigma_profile,0,0.08086469320082465,7
RO-CM-1510,sigma_profile,0,0.1397112468881722,7
Comp92,sigma_profile,0,0.012139059018416725,7
HP5N,sigma_profile,0,0.0774066884044081,7
1O(M-O2)PEPEBNO2,sigma_profile,1,0.6119090252464999,7
1O(M-O8)PEPEBNO2,sigma_profile,1,0.5043118903867323,7
NT3-5,sigma_profile,1,0.5085174004042823,7
NT3F-3,sigma_profile,0,0.6405744640650349,7
S2,sigma_profile,1,0.6736149708485308,7
2-2-Z2,sigma_profile,0,0.5068165801193706,7
M-0-0,sigma_profile,1,0.809984081430211,7
M-0-1,sigma_profile,1,0.8134458057106314,7
Li-1c,sigma_profile,1,0.7779457128057151,7
Li-6b,sigma_profile,1,0.40123812709832574,7
Li-12b,sigma_profile,0,0.442416790955966,7
Li-12c,sigma_profile,0,0.269806188249835,7
Li-24,sigma_profile,0,0.4836225479243736,7
Li-29,sigma_profile,0,0.5429664087934644,7
RT08062,sigma_profile,0,0.5188370787208388,8
06100KW,sigma_profile,0,0.27161590640726496,8
09078KW,sigma_profile,0,0.6057752586753402,8
07039KW,sigma_profile,0,0.3435209669744861,8
Acid2,sigma_profile,0,0.5814413910867307,8
Acid3,sigma_profile,0,0.6765321115946833,8
CCH-7,sigma_profile,0,0.13822013114619686,8
CCH-301,sigma_profile,0,0.2648777010341334,8
Comp119,sigma_profile,0,0.20486827256266923,8
DIO,sigma_profile,1,0.8690600092071267,8
5-4,sigma_profile,1,0.5323868636751949,8
NT3F-2,sigma_profile,0,0.5868164214822584,8
NT3F-7,sigma_profile,0,0.46106401118178764,8
Sulfur-2,sigma_profile,1,0.6592049445130548,8
Sulfur-13,sigma_profile,0,0.5997919855405546,8
Sulfur-19,sigma_profile,0,0.437072302176904,8
EST-3,sigma_profile,1,0.5942060140911711,8
SCUT22d,sigma_profile,1,0.7120891612183086,8
M-2-0,sigma_profile,1,0.7992183462716991,8
Li-2a,sigma_profile,1,0.6404832345421897,8
Li-5b,sigma_profile,1,0.5588601316786491,8
Li-13a,sigma_profile,0,0.4231756263231748,8
Li-21,sigma_profile,0,0.6791187729381378,8
07031KW,sigma_profile,0,0.4989246225214996,9
PR09089,sigma_profile,0,0.10923037079966856,9
06107KW,sigma_profile,0,0.09529986318864765,9
06131KW,sigma_profile,0,0.20381395818590162,9
07056KW,sigma_profile,0,0.12958131325725802,9
07038KW,sigma_profile,0,0.27581568180022276,9
7OCB,sigma_profile,0,0.46744083178362755,9
HP33,sigma_profile,0,0.12679863178428555,9
RM734,sigma_profile,1,0.6283484126808262,9
EC4F,sigma_profile,0,0.6789726255523788,9
5-9,sigma_profile,1,0.313294709388843,9
6-3,sigma_profile,0,0.6424648966801457,9
6-4,sigma_profile,0,0.6243195631332338,9
6-9,sigma_profile,0,0.32230462831824364,9
EST-2,sigma_profile,1,0.3647984748007358,9
S5,sigma_profile,1,0.659125916226794,9
S8,sigma_profile,1,0.7107590116959139,9
M-1-0,sigma_profile,1,0.7517248686760395,9
M-2-1,sigma_profile,1,0.7999928981137584,9
Li-7,sigma_profile,1,0.7152523407191032,9
Li-9b,sigma_profile,0,0.4740797935676539,9
Li-11c,sigma_profile,0,0.48878462683984597,9
Li-17a,sigma_profile,0,0.33969542071404113,9
06115KW,sigma_profile,0,0.19787290821574088,10
MJ01041,sigma_profile,0,0.06581549463721244,10
RT08050,sigma_profile,0,0.5711179496455544,10
06101KW,sigma_profile,0,0.057736815743134925,10
08125KW,sigma_profile,0,0.11644584801552556,10
08128KW,sigma_profile,0,0.5219096093523969,10
Acid1,sigma_profile,0,0.532504305926951,10
Comp36,sigma_profile,0,0.14595977170939028,10
Comp49,sigma_profile,0,0.2149584183421546,10
Comp93,sigma_profile,0,0.12435108766996314,10
EC5F,sigma_profile,1,0.4613057300738568,10
EC7F,sigma_profile,0,0.5518472541342642,10
RM734-2,sigma_profile,1,0.5734123687694145,10
NT3-1,sigma_profile,1,0.6133925024538304,10
NT3-3,sigma_profile,1,0.6134959841450922,10
Sulfur-15,sigma_profile,1,0.5462241218239307,10
DIO-2,sigma_profile,1,0.5016355336176217,10
DIO-3,sigma_profile,1,0.7514337035373148,10
S6,sigma_profile,0,0.6477415348105613,10
1-2-Z2,sigma_profile,1,0.3157508246386157,10
Li-9a,sigma_profile,0,0.4912869019590917,10
Li-10b,sigma_profile,0,0.46715341854438736,10
Li-18,sigma_profile,0,0.43128334388837586,10
MJ01077,graphmol_conf0,0,0.004807525924304411,1
MJ01075,graphmol_conf0,0,0.024402186391987612,1
RT09068,graphmol_conf0,0,0.00585313802915209,1
07004KW,graphmol_conf0,0,0.03656739400360395,1
08118KW,graphmol_conf0,0,0.12818705862537086,1
09079KW,graphmol_conf0,0,0.11285238001904793,1
Acid4,graphmol_conf0,0,0.04233654304358361,1
Comp89,graphmol_conf0,0,0.4164244608148944,1
Comp120,graphmol_conf0,0,0.0018439191069885117,1
EC2F,graphmol_conf0,1,0.5409073197984303,1
RM734-3,graphmol_conf0,0,0.6875330926643048,1
